Male,Partner,Dependents,SeniorCitizen,DurationMonths,PhoneService,MultipleLines,NoInternet,DSLInternet,FiberOpticInternet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,Contract,Churn
0,1,1,0,43,0,0,0,1,0,1,1,0,1,1,0,51.25,One year,0
1,1,0,0,59,1,1,0,0,1,0,0,1,0,1,1,99.5,One year,1
0,1,0,0,23,1,0,0,1,0,0,0,1,1,0,0,54.25,Month-to-month,0
0,1,0,0,72,1,0,1,0,0,0,0,0,0,0,0,19.4,Two year,0
1,1,0,0,22,1,0,0,1,0,1,0,0,1,0,0,56.25,One year,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,25.15,Month-to-month,0
1,0,0,0,69,1,1,1,0,0,0,0,0,0,0,0,23.95,Two year,0
1,0,0,0,50,0,0,0,1,0,1,0,0,1,0,0,35.4,One year,0
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,25.2,Month-to-month,1
1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,45.0,Month-to-month,1
0,1,0,0,15,1,0,0,0,1,0,1,0,0,0,0,75.35,Month-to-month,0
1,0,0,0,31,1,0,1,0,0,0,0,0,0,0,0,20.4,Two year,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.15,Month-to-month,1
1,1,0,0,66,1,1,0,0,1,0,1,1,0,1,1,105.0,Month-to-month,1
0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,56.05,Two year,0
1,0,1,0,3,1,0,0,1,0,0,0,0,0,1,0,54.7,Month-to-month,1
0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,20.0,Two year,0
1,1,1,0,64,1,0,0,1,0,1,0,1,0,1,1,73.05,One year,0
0,1,0,0,28,1,0,1,0,0,0,0,0,0,0,0,20.5,Month-to-month,0
0,1,0,0,57,1,1,0,0,1,0,0,1,0,1,1,100.75,One year,0
0,1,1,0,14,1,1,0,0,1,0,0,1,0,0,1,87.25,Month-to-month,1
1,0,0,0,19,1,0,1,0,0,0,0,0,0,0,0,19.95,Two year,0
1,1,0,0,10,1,0,0,0,1,0,0,0,0,1,0,79.95,Month-to-month,1
0,1,0,0,51,0,0,0,1,0,0,1,0,0,1,1,49.65,Month-to-month,0
0,1,0,0,67,1,1,0,1,0,1,1,1,0,0,0,65.65,Two year,0
1,1,1,0,11,1,0,1,0,0,0,0,0,0,0,0,20.45,Month-to-month,0
1,1,1,0,72,0,0,0,1,0,1,0,1,1,1,1,60.95,Two year,0
1,1,1,0,66,1,0,1,0,0,0,0,0,0,0,0,20.35,One year,0
0,0,0,0,18,1,1,0,0,1,0,0,0,1,1,0,88.35,Month-to-month,1
0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,19.5,Month-to-month,0
0,0,0,0,9,1,1,0,0,1,0,0,0,0,0,0,75.2,Month-to-month,0
1,1,0,0,48,1,1,0,0,1,1,1,1,0,1,1,111.45,Month-to-month,0
1,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,70.15,Month-to-month,0
0,0,0,0,9,1,1,0,0,1,0,0,0,0,1,1,94.75,Month-to-month,1
0,0,0,1,13,1,1,0,0,1,0,0,0,0,1,1,95.05,Month-to-month,1
1,0,0,0,4,1,1,0,0,1,0,1,0,0,0,0,78.45,Month-to-month,1
1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,70.2,Month-to-month,1
0,1,0,0,72,1,1,0,1,0,1,1,1,1,1,1,92.0,Two year,0
0,1,1,0,51,1,0,0,1,0,1,1,1,1,1,1,85.5,Two year,0
1,1,0,0,59,0,0,0,1,0,0,1,0,0,0,1,41.05,Month-to-month,1
1,1,0,0,10,1,1,0,0,1,0,0,0,0,1,0,85.6,Month-to-month,1
1,1,0,1,61,1,1,0,0,1,0,1,0,0,0,0,82.15,Month-to-month,0
1,0,0,0,54,1,0,0,0,1,1,0,1,1,0,0,84.4,One year,0
0,0,0,0,33,1,1,0,1,0,1,1,0,0,0,0,60.9,Month-to-month,0
0,0,0,0,27,1,0,1,0,0,0,0,0,0,0,0,20.25,Two year,0
0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,79.2,Month-to-month,1
1,0,0,0,23,1,0,0,0,1,0,1,0,0,1,1,95.3,Month-to-month,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,19.85,Month-to-month,0
1,1,1,0,45,1,0,0,1,0,1,1,1,1,1,1,84.35,Two year,0
0,1,1,0,39,1,0,1,0,0,0,0,0,0,0,0,19.85,Two year,0
1,0,0,0,5,1,0,0,1,0,0,0,1,0,1,1,70.0,One year,1
1,1,1,0,72,1,1,0,1,0,1,1,1,1,1,0,82.3,Two year,0
0,1,1,0,58,1,1,0,1,0,0,1,0,0,1,0,66.8,Month-to-month,0
0,0,0,0,70,0,0,0,1,0,1,1,1,1,0,0,44.6,Two year,0
1,1,1,0,61,1,0,0,0,1,0,1,0,1,1,1,98.45,One year,0
1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,70.7,Month-to-month,0
0,1,1,0,46,1,1,1,0,0,0,0,0,0,0,0,24.95,One year,0
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,49.95,Month-to-month,1
0,1,0,0,22,1,0,0,0,1,0,0,0,0,0,0,69.25,Month-to-month,1
0,0,0,0,48,1,0,0,0,1,1,0,1,1,1,1,102.5,Two year,0
1,0,0,0,64,1,1,0,1,0,0,1,1,1,1,1,86.55,Two year,0
1,1,1,0,72,1,1,1,0,0,0,0,0,0,0,0,24.3,Two year,0
0,1,1,0,12,1,0,0,1,0,0,0,1,0,1,0,58.35,Month-to-month,0
0,1,0,1,34,1,1,0,0,1,0,1,1,0,0,1,94.25,Month-to-month,1
0,1,1,0,72,1,0,0,1,0,1,1,1,0,0,1,68.75,Two year,0
1,1,0,0,29,1,1,0,0,1,0,1,1,0,0,0,85.8,Month-to-month,0
1,1,1,0,33,1,0,1,0,0,0,0,0,0,0,0,20.1,One year,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.35,Month-to-month,0
0,1,1,0,62,1,1,0,0,1,0,1,1,1,1,1,110.8,One year,0
1,1,0,0,41,1,1,0,1,0,0,0,1,0,1,1,73.0,One year,1
0,0,0,0,64,1,1,0,0,1,0,0,1,0,1,1,100.05,One year,1
0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,1,82.85,Month-to-month,0
0,0,0,0,24,1,1,0,0,1,1,0,0,1,0,0,84.35,Month-to-month,0
0,1,1,0,14,1,0,1,0,0,0,0,0,0,0,0,19.55,One year,0
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,19.95,Month-to-month,0
0,0,0,1,4,1,0,0,0,1,0,1,1,0,1,1,99.8,Month-to-month,1
0,0,1,0,18,0,0,0,1,0,0,0,0,0,0,1,35.0,Month-to-month,1
1,0,0,0,8,1,0,0,1,0,0,0,0,0,1,1,66.25,Month-to-month,0
0,0,0,0,35,1,1,1,0,0,0,0,0,0,0,0,23.3,Two year,0
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,76.0,Month-to-month,1
1,0,1,0,66,1,1,1,0,0,0,0,0,0,0,0,25.3,Two year,0
1,0,1,0,8,0,0,0,1,0,1,0,0,1,0,1,44.55,Two year,0
0,1,0,0,71,1,1,0,0,1,1,0,1,0,1,1,104.1,One year,0
0,1,1,0,43,1,1,0,0,1,0,0,1,0,0,1,92.55,Month-to-month,0
0,0,0,1,2,1,1,0,0,1,0,0,0,0,1,1,93.85,Month-to-month,1
1,0,0,1,29,1,0,0,0,1,0,1,1,0,1,1,101.45,Month-to-month,0
0,1,0,0,15,1,0,0,0,1,0,0,1,0,1,0,84.3,Month-to-month,1
1,1,1,0,65,1,1,0,0,1,1,1,1,1,0,0,94.55,Two year,0
1,0,0,0,35,1,1,0,0,1,0,0,1,1,1,0,95.5,Month-to-month,0
1,0,0,0,64,1,0,0,0,1,1,1,0,0,1,1,100.3,One year,0
0,1,1,0,58,0,0,0,1,0,0,0,1,1,1,1,55.5,Two year,0
0,0,0,1,18,1,0,0,1,0,0,1,0,0,0,0,49.85,Month-to-month,0
1,1,1,0,67,1,1,0,0,1,0,1,0,0,0,1,89.55,Month-to-month,0
1,1,1,0,63,1,0,1,0,0,0,0,0,0,0,0,19.15,Two year,0
0,1,0,0,60,1,1,0,0,1,0,1,0,0,1,1,99.8,Month-to-month,0
1,0,0,1,9,1,1,0,0,1,0,0,0,0,0,1,84.4,Month-to-month,1
0,1,1,0,70,1,1,0,0,1,1,1,1,1,1,1,113.05,Two year,0
1,1,0,0,15,1,1,0,0,1,0,0,1,0,1,1,101.1,Month-to-month,1
0,0,1,0,48,1,0,1,0,0,0,0,0,0,0,0,19.95,One year,0
1,1,0,0,12,1,0,0,1,0,0,0,1,1,1,1,74.15,Month-to-month,0
1,1,0,1,71,1,1,0,0,1,1,1,1,1,0,0,92.0,One year,0
1,0,0,1,44,1,0,0,0,1,0,0,1,0,0,0,73.85,Month-to-month,0
1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,50.45,Month-to-month,1
1,1,1,0,45,1,1,1,0,0,0,0,0,0,0,0,24.45,Two year,0
0,0,0,0,23,1,1,1,0,0,0,0,0,0,0,0,24.8,One year,0
0,1,0,0,43,1,1,0,1,0,0,0,0,1,1,0,64.85,One year,0
1,0,0,0,35,1,0,1,0,0,0,0,0,0,0,0,20.75,Month-to-month,0
1,1,0,0,9,1,0,0,1,0,1,1,0,1,1,0,68.95,Month-to-month,0
1,0,0,0,12,1,1,0,0,1,0,0,0,1,1,1,99.95,Month-to-month,1
0,1,0,1,65,1,1,0,0,1,1,1,1,0,1,1,109.4,Month-to-month,0
0,0,0,0,2,1,1,0,0,1,0,0,1,0,1,0,91.4,Month-to-month,1
1,0,0,0,27,1,1,0,1,0,0,0,0,0,0,0,49.0,Month-to-month,0
0,0,0,0,40,1,0,0,1,0,0,0,1,0,0,0,50.25,One year,0
0,0,0,1,5,1,0,0,0,1,0,0,1,0,0,0,75.55,Month-to-month,1
1,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,19.9,One year,0
0,1,0,1,58,1,1,0,0,1,0,1,0,0,1,1,97.8,One year,0
0,1,1,0,52,1,0,0,0,1,1,0,1,0,1,1,100.3,One year,0
1,1,0,0,3,1,0,0,1,0,0,0,1,1,0,0,55.8,Month-to-month,0
1,0,1,0,41,1,0,0,0,1,1,1,1,1,1,1,111.15,Two year,0
1,0,0,0,20,1,1,0,0,1,0,0,0,1,1,1,98.55,Month-to-month,0
1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,50.05,Month-to-month,0
1,0,1,0,4,1,1,0,0,1,0,0,0,1,0,0,80.8,Month-to-month,1
1,0,0,0,23,1,0,1,0,0,0,0,0,0,0,0,20.85,Month-to-month,0
0,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,19.5,Month-to-month,0
1,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,19.35,Month-to-month,0
1,0,0,0,18,1,1,0,1,0,1,0,1,0,1,0,69.5,Month-to-month,0
1,0,0,1,52,0,0,0,1,0,1,0,0,0,1,1,48.8,Month-to-month,0
1,0,0,0,31,1,0,0,0,1,0,1,0,0,1,1,94.5,Month-to-month,0
1,1,1,0,29,1,0,1,0,0,0,0,0,0,0,0,20.65,Month-to-month,0
0,1,0,0,36,1,1,0,0,1,1,1,1,1,0,1,106.05,Two year,0
0,1,0,0,16,1,1,0,0,1,0,1,0,0,1,1,100.0,Month-to-month,1
1,1,0,0,42,1,1,0,0,1,0,0,1,1,1,1,108.3,One year,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.55,Month-to-month,1
0,0,0,0,60,1,0,0,0,1,0,1,1,0,1,1,99.65,Two year,0
1,0,0,0,5,1,1,0,0,1,0,1,1,0,0,0,85.3,Month-to-month,1
1,1,0,0,22,1,1,0,0,1,1,0,0,1,1,0,95.9,Month-to-month,0
1,1,0,0,36,1,0,1,0,0,0,0,0,0,0,0,20.0,One year,0
0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,70.4,Month-to-month,1
1,0,0,0,9,1,0,0,1,0,1,0,0,1,0,1,64.95,Month-to-month,0
1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,74.6,Month-to-month,0
1,1,1,0,12,1,0,0,1,0,1,0,0,0,0,0,49.2,Month-to-month,0
0,0,0,0,23,1,1,0,1,0,0,0,0,1,1,1,73.75,One year,0
1,0,0,0,62,1,1,0,0,1,1,1,0,0,0,1,92.3,One year,0
1,0,0,0,37,1,1,0,0,1,0,0,0,1,1,1,98.8,Month-to-month,1
0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,19.2,Month-to-month,0
1,1,0,0,31,1,1,0,0,1,0,0,1,0,1,0,88.65,Month-to-month,0
1,1,1,0,13,1,1,0,0,1,0,0,0,0,0,0,74.4,Month-to-month,1
0,0,0,0,24,1,1,0,0,1,0,0,1,0,1,1,98.75,Month-to-month,1
1,1,1,0,45,1,1,0,0,1,0,1,1,0,0,1,95.95,Month-to-month,0
0,1,0,1,69,1,1,0,0,1,0,1,0,1,1,1,105.4,Two year,0
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,20.25,Month-to-month,0
1,1,1,0,61,1,1,0,0,1,1,1,0,0,1,1,106.0,One year,1
1,0,0,0,41,1,1,0,0,1,0,1,1,0,1,1,104.7,Month-to-month,1
0,0,0,0,44,0,0,0,1,0,0,0,1,0,1,1,49.05,One year,0
1,0,0,0,39,0,0,0,1,0,0,0,1,1,0,0,35.55,One year,0
1,1,1,0,72,0,0,0,1,0,1,1,1,1,1,1,65.1,Two year,0
0,0,0,1,13,1,0,0,0,1,0,0,1,0,1,1,96.85,Month-to-month,0
0,1,1,0,51,1,0,0,1,0,1,1,0,1,0,1,69.75,One year,0
0,1,0,1,71,1,0,0,0,1,0,1,1,0,1,1,99.2,Two year,0
1,0,0,1,22,1,1,0,0,1,0,0,0,0,1,1,96.7,Month-to-month,1
0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,55.05,Month-to-month,1
0,0,0,0,56,1,1,0,0,1,0,1,1,0,1,1,106.8,One year,0
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,51.25,Month-to-month,0
0,1,1,0,23,1,0,0,1,0,1,1,0,1,0,0,57.75,One year,0
0,1,0,1,66,1,1,0,1,0,0,1,1,0,1,0,70.85,One year,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,19.55,Month-to-month,0
1,0,0,1,19,1,1,0,0,1,0,1,0,0,1,0,88.2,Month-to-month,1
1,0,0,0,11,1,0,0,0,1,1,0,1,0,0,0,79.5,Month-to-month,0
0,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,19.75,One year,1
0,1,1,0,52,1,1,0,0,1,1,1,1,0,0,1,98.15,Month-to-month,0
1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,20.25,Month-to-month,0
0,1,1,0,51,1,0,0,0,1,1,1,0,0,0,0,79.15,Month-to-month,0
1,0,0,1,15,1,1,0,0,1,0,0,0,0,0,0,75.65,Month-to-month,1
1,1,0,1,64,1,1,0,0,1,0,1,1,0,0,1,94.25,Month-to-month,0
0,0,0,0,37,0,0,0,1,0,0,0,1,0,0,1,40.2,Month-to-month,0
1,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,19.95,Two year,0
1,1,0,0,49,1,1,0,1,0,1,0,0,0,0,0,55.35,One year,0
0,0,0,1,45,1,1,0,0,1,0,0,1,0,1,1,102.15,One year,0
0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0,71.1,Month-to-month,0
1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,74.7,Month-to-month,1
1,1,0,0,68,0,0,0,1,0,1,0,1,0,1,1,54.1,Two year,0
1,0,0,0,54,1,0,1,0,0,0,0,0,0,0,0,19.65,Two year,0
0,1,1,1,23,1,0,0,0,1,0,1,1,0,0,1,88.45,Month-to-month,0
1,0,0,0,17,1,0,0,0,1,0,0,1,0,0,0,76.65,Month-to-month,1
1,1,0,0,71,1,1,0,1,0,1,1,1,1,0,1,80.4,Two year,0
0,1,1,0,67,1,0,1,0,0,0,0,0,0,0,0,19.25,Two year,0
0,1,1,0,14,1,1,0,0,1,0,0,0,0,1,0,84.8,Month-to-month,0
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,25.8,Month-to-month,1
0,0,1,0,63,1,0,1,0,0,0,0,0,0,0,0,19.5,Two year,0
0,0,0,0,41,1,1,0,1,0,0,0,1,1,0,1,68.6,One year,0
0,1,0,0,17,1,1,0,0,1,0,0,0,0,1,1,92.6,Month-to-month,0
1,1,0,0,56,1,1,0,0,1,1,0,0,0,1,1,100.55,One year,0
0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,20.55,Month-to-month,0
0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,42.6,Month-to-month,1
0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,19.6,Month-to-month,0
1,0,0,0,37,1,1,0,1,0,1,1,1,1,0,0,67.45,One year,0
0,0,0,0,29,1,0,0,1,0,1,1,1,0,0,1,68.85,Month-to-month,1
1,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,43.55,Month-to-month,0
0,0,0,0,63,1,1,0,0,1,0,1,1,1,1,1,109.85,Month-to-month,0
0,1,1,0,7,1,0,1,0,0,0,0,0,0,0,0,20.65,Month-to-month,0
0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,1,95.4,Month-to-month,0
1,1,1,0,72,1,0,1,0,0,0,0,0,0,0,0,21.0,Two year,0
0,0,0,0,19,1,0,0,1,0,0,0,0,0,0,1,56.2,Month-to-month,0
0,1,0,0,59,1,0,1,0,0,0,0,0,0,0,0,18.4,Two year,0
1,1,1,0,2,1,0,0,0,1,0,0,1,1,0,1,90.0,Month-to-month,1
0,1,1,0,35,1,1,1,0,0,0,0,0,0,0,0,25.75,Month-to-month,0
1,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,19.6,Month-to-month,0
0,0,0,0,14,1,0,0,0,1,0,0,1,0,0,0,75.35,Month-to-month,1
0,1,1,0,69,1,0,1,0,0,0,0,0,0,0,0,19.8,Two year,0
1,1,0,1,7,1,1,0,1,0,1,1,0,1,0,0,64.2,Month-to-month,0
1,1,1,0,69,1,0,0,1,0,1,1,1,1,1,0,75.75,Two year,0
0,1,1,0,72,1,1,0,1,0,0,1,0,1,1,1,78.95,Two year,0
1,0,0,0,8,1,1,0,0,1,0,1,0,0,1,1,100.85,Month-to-month,1
0,1,1,0,4,1,0,0,1,0,1,0,0,0,0,0,50.3,Month-to-month,0
1,1,1,0,63,1,0,0,0,1,0,1,1,0,0,0,80.3,Month-to-month,0
1,0,0,0,72,1,0,1,0,0,0,0,0,0,0,0,19.85,Two year,0
0,0,0,0,46,1,0,1,0,0,0,0,0,0,0,0,21.1,Two year,0
0,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,69.95,Month-to-month,1
1,1,0,0,30,1,0,0,1,0,0,0,1,0,0,0,50.0,Month-to-month,0
1,0,0,0,63,1,1,0,0,1,0,1,1,0,1,1,104.75,Two year,0
0,0,0,0,60,1,0,1,0,0,0,0,0,0,0,0,19.85,Two year,0
0,1,0,0,63,1,1,0,0,1,0,1,1,0,1,1,107.5,One year,1
1,1,1,0,25,1,0,0,0,1,0,0,0,1,1,0,85.9,Month-to-month,0
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,45.85,Month-to-month,1
1,1,0,1,6,1,1,0,0,1,0,0,1,0,0,0,80.8,Month-to-month,0
1,0,0,0,22,1,1,1,0,0,0,0,0,0,0,0,25.25,Two year,0
0,1,1,0,31,1,1,0,1,0,0,1,0,1,1,1,80.55,Two year,0
0,1,1,0,39,1,0,0,0,1,0,0,1,1,0,0,81.5,Month-to-month,0
1,0,0,0,26,1,0,1,0,0,0,0,0,0,0,0,20.9,Month-to-month,0
0,1,0,0,53,1,0,0,0,1,1,1,1,0,1,1,106.1,One year,1
0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,91.7,Month-to-month,1
1,0,0,0,12,1,1,0,1,0,1,1,0,1,0,0,67.25,Month-to-month,0
0,0,0,0,16,1,1,0,0,1,0,1,1,0,0,1,95.6,Month-to-month,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,20.35,Month-to-month,0
1,0,1,0,39,0,0,0,1,0,1,0,0,1,1,0,45.05,One year,0
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,74.95,Month-to-month,1
0,1,1,0,7,0,0,0,1,0,1,0,0,1,0,0,34.65,Month-to-month,0
1,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,69.35,Month-to-month,0
1,0,0,1,10,1,1,0,0,1,0,0,0,0,1,1,95.35,Month-to-month,1
0,0,0,0,55,1,0,0,0,1,0,1,1,0,0,0,81.55,Month-to-month,0
1,1,1,0,72,1,0,0,1,0,0,1,1,0,1,1,75.4,Two year,0
0,1,0,0,10,1,0,0,1,0,0,0,1,0,1,1,67.8,Month-to-month,0
1,0,0,1,11,1,1,0,0,1,0,1,1,1,1,1,111.4,Month-to-month,0
0,1,1,0,15,1,0,0,1,0,0,0,0,0,0,0,46.3,Month-to-month,0
0,1,1,0,23,1,0,1,0,0,0,0,0,0,0,0,20.4,Two year,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,20.05,Month-to-month,0
0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,45.0,Month-to-month,1
1,1,1,0,47,1,0,0,0,1,1,1,1,0,0,1,96.1,One year,0
0,0,1,0,15,1,0,1,0,0,0,0,0,0,0,0,19.65,One year,0
1,0,0,0,66,1,0,0,0,1,0,1,1,0,1,1,99.5,Month-to-month,1
0,1,0,1,68,1,0,0,1,0,0,1,1,1,0,0,60.65,One year,0
0,1,1,0,17,1,0,0,0,1,0,0,1,1,1,1,98.6,One year,1
0,0,0,0,7,1,0,0,1,0,0,0,0,1,1,0,59.5,Month-to-month,1
1,1,0,1,12,1,0,0,0,1,0,0,0,0,0,1,80.45,Month-to-month,1
0,1,0,1,21,1,1,0,1,0,0,1,1,0,0,1,71.7,One year,0
1,0,0,0,21,0,0,0,1,0,0,1,0,1,0,0,36.0,Month-to-month,0
0,1,1,0,56,1,1,0,1,0,1,0,0,0,1,0,65.2,One year,0
0,1,1,0,6,1,1,0,1,0,0,0,0,0,0,0,48.95,Month-to-month,0
0,0,0,1,65,0,0,0,1,0,0,1,1,0,1,1,53.5,Two year,0
1,1,0,0,42,1,1,0,1,0,1,0,0,1,1,1,80.45,One year,0
0,1,1,0,68,1,1,0,0,1,1,0,1,1,1,1,109.05,Two year,0
1,1,1,0,48,1,1,1,0,0,0,0,0,0,0,0,26.3,Two year,0
0,0,0,1,50,1,1,0,0,1,0,1,0,1,1,1,106.8,One year,0
0,0,0,1,7,1,0,0,1,0,0,1,1,0,1,0,64.95,Month-to-month,0
0,1,1,0,63,1,0,1,0,0,0,0,0,0,0,0,19.35,Two year,0
1,0,0,0,17,1,0,1,0,0,0,0,0,0,0,0,21.1,Month-to-month,0
0,1,1,0,42,1,0,0,0,1,0,0,0,0,1,0,77.95,Month-to-month,1
1,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,18.85,Month-to-month,0
0,0,1,0,62,1,1,1,0,0,0,0,0,0,0,0,26.0,Two year,0
1,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,74.7,Month-to-month,1
0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,70.35,Month-to-month,0
1,1,0,0,48,1,1,0,0,1,1,1,1,0,1,0,96.9,Two year,0
1,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,19.55,Two year,0
0,1,1,0,70,1,0,0,1,0,0,1,1,1,1,1,80.4,Two year,0
1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,88.8,Month-to-month,1
1,1,0,0,46,1,1,0,0,1,0,1,1,0,1,0,94.65,One year,0
1,0,0,0,30,1,0,0,0,1,0,0,0,0,1,1,90.25,Month-to-month,1
0,0,0,0,15,1,1,0,1,0,1,0,0,0,0,1,64.65,Month-to-month,1
1,1,1,0,69,1,1,0,0,1,0,1,1,0,1,0,95.75,One year,0
1,0,0,0,65,1,0,1,0,0,0,0,0,0,0,0,19.55,Two year,0
1,1,1,1,72,1,0,0,0,1,1,0,1,1,1,1,104.1,Two year,0
1,1,0,1,13,1,0,0,0,1,0,1,0,1,0,1,89.05,Month-to-month,1
1,0,0,0,17,1,0,1,0,0,0,0,0,0,0,0,20.1,One year,0
1,1,0,0,51,1,1,0,0,1,1,0,1,1,1,1,111.55,One year,0
1,1,1,0,51,1,0,0,1,0,1,1,0,1,0,0,60.5,Two year,0
0,1,0,0,72,1,1,0,1,0,1,1,1,1,1,1,90.95,Two year,0
1,1,1,0,67,1,1,0,0,1,0,1,1,0,0,0,87.4,One year,1
1,0,0,0,34,1,0,1,0,0,0,0,0,0,0,0,19.7,Month-to-month,0
1,1,0,0,67,0,0,0,1,0,1,1,0,1,0,1,50.95,Two year,0
0,1,0,0,49,1,0,1,0,0,0,0,0,0,0,0,20.05,One year,0
1,1,1,0,53,1,0,1,0,0,0,0,0,0,0,0,19.4,Two year,0
1,0,0,0,27,1,1,0,1,0,0,0,1,1,0,0,59.45,Month-to-month,0
0,0,0,1,23,1,0,0,0,1,0,1,0,0,1,1,94.75,Month-to-month,1
1,0,0,0,69,1,1,0,1,0,1,1,1,1,0,1,81.5,Two year,0
0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,29.05,Month-to-month,0
0,0,0,0,35,1,1,0,0,1,0,0,0,0,1,0,86.45,Month-to-month,1
0,1,0,0,46,1,0,0,1,0,1,1,0,1,0,1,70.6,One year,0
0,0,0,0,54,1,1,0,0,1,0,1,0,0,1,1,97.2,Two year,0
0,1,0,0,56,1,1,0,0,1,0,1,0,0,1,1,98.25,One year,1
0,1,0,0,9,1,0,0,0,1,0,0,1,0,0,0,75.75,Month-to-month,1
1,0,0,0,20,1,1,0,1,0,1,0,0,1,0,0,59.2,Month-to-month,0
1,0,0,0,11,1,0,0,0,1,0,1,0,0,0,0,75.9,Month-to-month,0
0,1,0,1,30,1,1,0,0,1,0,1,0,0,1,0,90.05,Month-to-month,0
1,1,0,0,68,1,0,0,1,0,1,1,1,0,0,1,70.95,Two year,0
1,1,0,1,38,1,1,0,0,1,0,1,1,0,1,1,102.6,Month-to-month,0
0,1,0,1,17,1,1,0,0,1,1,0,1,0,0,0,85.35,Month-to-month,1
1,0,0,0,48,1,1,0,0,1,0,1,1,0,1,1,106.1,One year,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,43.8,Month-to-month,0
1,1,1,0,63,0,0,0,1,0,1,1,1,0,1,1,59.0,Two year,0
0,0,0,0,3,1,0,0,1,0,0,0,1,0,1,1,69.95,One year,0
0,0,0,0,48,1,1,1,0,0,0,0,0,0,0,0,24.35,One year,0
1,0,0,0,66,0,0,0,1,0,0,0,0,1,0,0,29.45,One year,0
0,1,1,0,68,1,1,0,0,1,0,1,1,0,0,0,84.4,Two year,0
1,0,0,1,17,1,0,0,1,0,0,0,0,0,0,0,45.05,Month-to-month,1
0,1,1,0,7,1,0,1,0,0,0,0,0,0,0,0,20.65,One year,0
1,1,0,0,72,1,1,0,1,0,1,1,1,1,1,1,87.1,Two year,0
0,1,0,0,29,1,0,1,0,0,0,0,0,0,0,0,19.85,Month-to-month,0
1,1,0,0,37,1,0,0,0,1,0,0,1,1,0,1,90.35,Month-to-month,0
0,0,0,0,34,1,1,0,0,1,1,1,1,0,1,1,109.8,Month-to-month,1
